,name,club,league,attacking,defending,goalkeeping,average_age,international_reputation,mentality,movement,overall,potential,power,skill,skill_moves,value_eur,wage_eur,work_rate,year
1,L. Messi,FC Barcelona,La Liga,83,22,10,27,5,65,93,93,95,75,90,4,0,0,Medium,2015
2,Cristiano Ronaldo,Real Madrid,La Liga,87,25,11,29,5,69,83,92,92,89,84,5,0,0,High,2015
3,A. Robben,FC Bayern München,Bundesliga,78,28,9,30,5,70,92,90,90,78,86,4,0,0,High,2015
4,Z. Ibrahimović,Paris Saint-Germain,Ligue 1,84,28,11,32,5,72,72,90,90,84,83,4,0,0,Medium,2015
5,M. Neuer,FC Bayern München,Bundesliga,28,25,89,28,5,30,61,90,90,57,29,1,0,0,Medium,2015
6,L. Suárez,FC Barcelona,La Liga,82,37,30,27,5,75,76,89,91,79,82,4,0,0,High,2015
7,E. Hazard,Chelsea,Premier League,76,24,9,23,4,70,90,88,90,71,85,4,0,0,High,2015
8,R. van Persie,Manchester United,Premier League,84,25,7,30,5,69,74,88,88,75,82,4,0,0,Medium,2015
9,B. Schweinsteiger,FC Bayern München,Bundesliga,81,76,13,29,4,83,71,88,88,85,82,3,0,0,High,2015
10,F. Ribéry,FC Bayern München,Bundesliga,74,25,9,31,4,67,89,88,88,65,84,5,0,0,High,2015
11,Falcao,Manchester United,Premier League,78,30,8,28,4,71,80,88,88,78,73,4,0,0,High,2015
12,G. Bale,Real Madrid,La Liga,79,53,10,24,4,73,83,87,91,82,84,4,0,0,High,2015
13,R. Lewandowski,FC Bayern München,Bundesliga,79,30,10,25,4,73,81,87,89,80,77,4,0,0,High,2015
14,P. Lahm,FC Bayern München,Bundesliga,69,90,9,30,4,76,82,87,87,68,76,3,0,0,High,2015
15,Sergio Ramos,Real Madrid,La Liga,70,90,9,28,4,71,76,87,87,75,66,3,0,0,High,2015
16,Thiago Silva,Paris Saint-Germain,Ligue 1,63,90,9,29,4,74,74,87,87,80,71,3,0,0,Medium,2015
17,David Silva,Manchester City,Premier League,77,27,11,28,4,68,83,87,87,68,84,4,0,0,High,2015
18,L. Modrić,Real Madrid,La Liga,73,83,10,28,4,75,86,87,87,74,85,4,0,0,High,2015
19,J. Rodríguez,Real Madrid,La Liga,79,30,12,22,4,76,83,86,92,72,85,4,0,0,Medium,2015
20,Neymar,FC Barcelona,La Liga,74,26,11,22,5,66,88,86,91,68,82,5,0,0,High,2015
21,T. Courtois,Chelsea,Premier League,26,25,83,22,3,25,55,86,90,47,25,1,0,0,Medium,2015
22,M. Hummels,Borussia Dortmund,Bundesliga,69,86,8,25,4,75,67,86,88,68,70,2,0,0,High,2015
23,A. Di María,Manchester United,Premier League,76,55,10,26,4,81,86,86,88,76,82,4,0,0,High,2015
24,M. Reus,Borussia Dortmund,Bundesliga,78,31,12,25,3,67,88,86,88,76,86,4,0,0,High,2015
25,T. Müller,FC Bayern München,Bundesliga,84,46,10,24,4,78,80,86,88,80,75,3,0,0,High,2015
26,S. Agüero,Manchester City,Premier League,78,23,11,26,4,67,87,86,87,73,78,4,0,0,High,2015
27,M. Özil,Arsenal,Premier League,75,24,10,25,3,66,79,86,87,64,84,4,0,0,Medium,2015
28,Xavi,FC Barcelona,La Liga,74,57,9,34,4,74,77,86,86,60,86,3,0,0,Medium,2015
29,Y. Touré,Manchester City,Premier League,77,79,10,31,4,83,70,86,86,87,82,3,0,0,Medium,2015
30,W. Rooney,Manchester United,Premier League,80,40,9,28,4,75,76,86,86,86,83,3,0,0,High,2015
31,V. Kompany,Manchester City,Premier League,63,87,7,28,4,64,67,86,86,74,63,2,0,0,Medium,2015
32,M. Götze,FC Bayern München,Bundesliga,74,26,9,22,3,67,82,85,91,68,82,4,0,0,Medium,2015
33,Sergio Busquets,FC Barcelona,La Liga,64,79,9,25,4,79,61,85,89,68,73,3,0,0,Medium,2015
34,T. Kroos,Real Madrid,La Liga,80,61,10,24,4,74,72,85,88,76,87,3,0,0,Medium,2015
35,K. Benzema,Real Madrid,La Liga,80,25,8,26,4,67,80,85,87,77,73,4,0,0,Medium,2015
36,E. Cavani,Paris Saint-Germain,Ligue 1,76,32,10,27,4,71,75,85,87,81,73,3,0,0,Medium,2015
37,Diego Costa,Chelsea,Premier League,76,33,11,25,3,72,75,85,87,79,65,3,0,0,High,2015
38,A. Vidal,Juventus,Serie A,77,81,2,27,4,83,78,85,87,80,75,3,0,0,High,2015
39,H. Lloris,Tottenham Hotspur,Premier League,25,25,81,27,3,29,64,85,86,40,28,1,0,0,Medium,2015
40,Javi Martinez,FC Bayern München,Bundesliga,68,86,9,25,3,71,59,85,86,75,65,2,0,0,Medium,2015
41,Juan Mata,Manchester United,Premier League,76,24,9,26,3,66,81,85,86,69,82,4,0,0,Medium,2015
42,J. Boateng,FC Bayern München,Bundesliga,64,84,9,25,4,62,71,85,86,76,60,3,0,0,Medium,2015
43,P. Čech,Chelsea,Premier League,27,25,81,32,4,28,56,85,85,36,28,1,0,0,Medium,2015
44,C. Tévez,Juventus,Serie A,76,48,2,30,3,74,86,85,85,82,78,3,0,0,High,2015
45,Piqué,FC Barcelona,La Liga,65,82,11,27,4,64,64,84,89,63,56,2,0,0,High,2015
46,A. Turan,Atlético Madrid,La Liga,77,66,10,27,3,73,81,84,88,74,78,4,0,0,High,2015
47,A. Sánchez,Arsenal,Premier League,75,33,12,25,3,68,87,84,88,71,78,4,0,0,High,2015
48,Oscar,Chelsea,Premier League,70,44,12,22,3,59,82,84,87,66,80,4,0,0,Medium,2015
49,S. Nasri,Manchester City,Premier League,74,38,10,27,3,62,82,84,86,71,83,4,0,0,High,2015
50,M. Benatia,FC Bayern München,Bundesliga,53,86,6,27,2,59,69,84,86,65,49,2,0,0,High,2015
51,S. Khedira,Real Madrid,La Liga,72,80,9,27,3,75,60,84,86,79,67,2,0,0,Medium,2015
52,G. Higuaín,Napoli,Serie A,77,25,6,26,3,61,76,84,85,77,70,3,0,0,High,2015
53,S. Sirigu,Paris Saint-Germain,Ligue 1,24,25,81,27,3,27,56,84,85,46,25,1,0,0,Medium,2015
54,Casillas,Real Madrid,La Liga,24,25,78,33,4,24,63,84,84,47,24,1,0,0,Medium,2015
55,A. Pirlo,Juventus,Serie A,69,53,2,35,4,72,62,84,84,62,91,2,0,0,Low,2015
56,Xabi Alonso,FC Bayern München,Bundesliga,72,74,9,32,4,82,61,84,84,71,78,2,0,0,Medium,2015
57,D. De Rossi,Roma,Serie A,74,80,8,30,3,77,71,84,84,80,74,2,0,0,Medium,2015
58,G. Chiellini,Juventus,Serie A,52,87,2,29,3,61,69,84,84,77,50,2,0,0,Medium,2015
59,Santi Cazorla,Arsenal,Premier League,74,27,8,29,3,66,81,84,84,71,85,4,0,0,Medium,2015
60,K. Huntelaar,FC Schalke 04,Bundesliga,79,25,9,30,3,63,69,84,84,78,65,3,0,0,Medium,2015
61,Cesc Fàbregas,Chelsea,Premier League,81,63,10,27,3,73,72,84,84,72,82,3,0,0,High,2015
62,D. Godín,Atlético Madrid,La Liga,61,87,9,28,3,63,67,84,84,69,58,2,0,0,Medium,2015
63,P. Pogba,Juventus,Serie A,76,73,3,21,3,77,73,83,89,91,78,4,0,0,High,2015
64,Isco,Real Madrid,La Liga,70,24,10,22,2,67,80,83,88,69,81,3,0,0,High,2015
65,I. Gündoğan,Borussia Dortmund,Bundesliga,70,65,9,23,3,76,82,83,87,67,82,4,0,0,High,2015
66,De Gea,Manchester United,Premier League,25,23,82,23,3,31,56,83,87,42,26,1,0,0,Medium,2015
67,J. Cuadrado,Fiorentina,Serie A,73,58,6,26,3,68,85,83,87,73,78,5,0,0,High,2015
68,D. Sturridge,Liverpool,Premier League,74,24,9,24,3,62,80,83,86,76,71,4,0,0,Medium,2015
69,M. Pjanić,Roma,Serie A,72,62,7,24,3,74,75,83,86,72,83,3,0,0,Medium,2015
70,A. Ramsey,Arsenal,Premier League,74,70,8,23,3,78,75,83,86,77,75,3,0,0,High,2015
71,Pedro,FC Barcelona,La Liga,72,31,10,26,3,65,83,83,86,68,75,4,0,0,High,2015
72,B. Matuidi,Paris Saint-Germain,Ligue 1,72,84,9,27,3,74,79,83,85,78,68,2,0,0,High,2015
73,S. Ruffier,AS Saint-Étienne,Ligue 1,26,25,81,27,3,26,58,83,84,46,27,1,0,0,Medium,2015
74,I. Rakitić,FC Barcelona,La Liga,77,54,10,26,3,75,71,83,84,73,86,3,0,0,Medium,2015
75,A. Candreva,Lazio,Serie A,75,55,8,27,2,75,80,83,84,80,79,4,0,0,High,2015
76,R. Weidenfeller,Borussia Dortmund,Bundesliga,26,25,78,33,3,28,42,83,83,49,25,1,0,0,Medium,2015
77,J. Terry,Chelsea,Premier League,59,83,9,33,3,64,50,83,83,64,49,2,0,0,Medium,2015
78,P. Mertesacker,Arsenal,Premier League,52,86,10,29,3,59,39,83,83,56,49,2,0,0,Medium,2015
79,J. Toulalan,AS Monaco,Ligue 1,54,78,9,30,3,74,60,83,83,77,67,2,0,0,Medium,2015
80,Pepe,Real Madrid,La Liga,52,85,9,31,3,66,68,83,83,71,53,2,0,0,Medium,2015
81,A. Barzagli,Juventus,Serie A,50,85,2,33,3,62,69,83,83,62,53,2,0,0,Low,2015
82,N. Vidić,Inter,Serie A,52,82,7,32,3,60,55,83,83,64,50,2,0,0,Medium,2015
83,J. Mascherano,FC Barcelona,La Liga,63,82,6,30,3,71,74,83,83,74,65,2,0,0,Medium,2015
84,Negredo,Valencia CF,La Liga,76,41,9,28,3,69,69,83,83,81,71,3,0,0,High,2015
85,Dani Alves,FC Barcelona,La Liga,74,74,7,31,4,75,81,83,83,69,79,3,0,0,High,2015
86,Jesús Navas,Manchester City,Premier League,73,24,11,28,3,61,88,83,83,64,72,4,0,0,Medium,2015
87,Diego López,Milan,Serie A,25,25,81,32,3,27,51,83,83,46,24,1,0,0,Medium,2015
88,J. Farfán,FC Schalke 04,Bundesliga,74,32,11,29,3,70,82,83,83,75,80,3,0,0,Medium,2015
89,João Moutinho,AS Monaco,Ligue 1,76,70,13,27,3,75,77,83,83,77,81,3,0,0,Medium,2015
90,S. Handanovič,Inter,Serie A,26,25,80,29,2,24,57,83,83,49,28,1,0,0,Medium,2015
91,Miranda,Atlético Madrid,La Liga,59,86,10,29,3,62,70,83,83,69,47,2,0,0,Medium,2015
92,C. Marchisio,Juventus,Serie A,75,75,2,28,3,78,80,83,83,77,76,4,0,0,High,2015
93,C. Bravo,FC Barcelona,La Liga,23,25,84,31,2,27,65,83,83,51,26,1,0,0,Medium,2015
94,E. Džeko,Manchester City,Premier League,75,26,12,28,3,67,67,83,83,77,69,3,0,0,Medium,2015
95,M. Mandžukić,Atlético Madrid,La Liga,79,36,9,28,3,71,67,83,83,82,60,3,0,0,High,2015
96,S. Kagawa,Borussia Dortmund,Bundesliga,69,23,10,25,3,60,87,83,83,65,77,4,0,0,High,2015
97,C. Eriksen,Tottenham Hotspur,Premier League,71,38,8,22,3,62,78,82,88,68,83,4,0,0,High,2015
98,M. ter Stegen,FC Barcelona,La Liga,26,25,81,22,2,29,50,82,88,51,28,1,0,0,Medium,2015
99,A. Griezmann,Atlético Madrid,La Liga,77,23,12,23,2,65,81,82,88,72,79,4,0,0,High,2015
100,C. Vela,Real Sociedad,La Liga,74,24,10,25,3,64,82,82,87,68,75,4,0,0,High,2015
101,D. Alaba,FC Bayern München,Bundesliga,74,79,10,22,3,75,83,82,87,77,78,3,0,0,High,2015
102,Lucas,Paris Saint-Germain,Ligue 1,67,43,10,21,2,68,90,82,87,73,76,4,0,0,Medium,2015
103,M. Hamšik,Napoli,Serie A,78,55,8,26,3,68,73,82,86,73,78,3,0,0,High,2015
104,M. Balotelli,Liverpool,Premier League,73,23,1,23,4,68,72,82,86,80,73,4,0,0,Low,2015
105,D. Mertens,Napoli,Serie A,68,37,6,27,2,69,88,82,85,67,83,4,0,0,High,2015
106,Marcelo,Real Madrid,La Liga,69,76,7,26,3,73,81,82,85,75,78,3,0,0,High,2015
107,N. Matić,Chelsea,Premier League,73,79,11,25,2,76,61,82,85,79,74,3,0,0,Medium,2015
108,B. Leno,Bayer 04 Leverkusen,Bundesliga,27,25,82,22,2,24,55,82,85,50,27,1,0,0,Medium,2015
109,Koke,Atlético Madrid,La Liga,71,49,10,22,2,69,78,82,85,77,81,3,0,0,High,2015
110,G. Rossi,Fiorentina,Serie A,74,26,6,27,3,57,83,82,84,68,77,3,0,0,High,2015
111,A. Begović,Stoke City,Premier League,25,25,80,27,2,30,56,82,84,41,24,1,0,0,Medium,2015
112,J. Vertonghen,Tottenham Hotspur,Premier League,68,80,8,27,3,74,69,82,84,78,68,3,0,0,High,2015
113,Sokratis,Borussia Dortmund,Bundesliga,62,86,7,26,2,65,74,82,84,71,55,2,0,0,Medium,2015
114,B. Höwedes,FC Schalke 04,Bundesliga,62,83,9,26,2,67,68,82,84,65,57,2,0,0,Medium,2015
115,Willian,Chelsea,Premier League,63,76,11,25,2,61,85,82,84,68,76,4,0,0,High,2015
116,N. Subotić,Borussia Dortmund,Bundesliga,59,85,7,25,3,64,70,82,84,73,56,2,0,0,Medium,2015
117,J. Hart,Manchester City,Premier League,26,25,81,27,3,29,53,82,83,42,26,1,0,0,Medium,2015
118,S. Mignolet,Liverpool,Premier League,27,25,79,26,3,28,50,82,83,43,26,1,0,0,Medium,2015
119,David Luiz,Paris Saint-Germain,Ligue 1,70,80,10,27,4,70,71,82,83,75,72,3,0,0,High,2015
120,Luiz Gustavo,VfL Wolfsburg,Bundesliga,64,84,10,26,3,69,69,82,83,76,64,2,0,0,Medium,2015
121,G. Buffon,Juventus,Serie A,28,25,78,36,4,30,50,82,82,49,24,1,0,0,Medium,2015
122,S. Gerrard,Liverpool,Premier League,80,69,11,34,4,82,65,82,82,80,81,3,0,0,Medium,2015
123,T. Howard,Everton,Premier League,26,25,80,35,3,27,55,82,82,44,25,1,0,0,Medium,2015
124,T. Motta,Paris Saint-Germain,Ligue 1,70,76,9,31,3,75,55,82,82,80,75,3,0,0,Medium,2015
125,R. Adler,Hamburger SV,Bundesliga,27,25,80,29,2,26,53,82,82,44,28,1,0,0,Medium,2015
126,Alex,Milan,Serie A,52,83,8,32,3,65,53,82,82,81,58,2,0,0,Medium,2015
127,P. Zabaleta,Manchester City,Premier League,65,84,10,29,3,75,75,82,82,74,68,3,0,0,High,2015
128,Gabi,Atlético Madrid,La Liga,66,75,8,30,3,79,74,82,82,73,79,2,0,0,Medium,2015
129,M. Gomez,Fiorentina,Serie A,73,28,7,28,3,63,66,82,82,75,55,2,0,0,Medium,2015
130,R. Palacio,Inter,Serie A,78,25,7,32,2,61,83,82,82,72,77,3,0,0,High,2015
131,Dante,FC Bayern München,Bundesliga,65,82,10,30,3,66,66,82,82,66,67,3,0,0,Medium,2015
132,E. Lavezzi,Paris Saint-Germain,Ligue 1,71,31,9,29,3,64,86,82,82,73,76,4,0,0,High,2015
133,Borja Valero,Fiorentina,Serie A,72,64,5,29,2,72,76,82,82,72,80,3,0,0,Medium,2015
134,L. Baines,Everton,Premier League,76,79,11,29,3,78,78,82,82,76,79,3,0,0,High,2015
135,S. Mandanda,Olympique de Marseille,Ligue 1,26,25,79,29,3,27,52,82,82,45,25,1,0,0,Medium,2015
136,Filipe Luís,Chelsea,Premier League,68,82,9,28,2,73,75,82,82,71,77,3,0,0,High,2015
137,J. Błaszczykowski,Borussia Dortmund,Bundesliga,72,58,11,28,3,72,83,82,82,72,76,3,0,0,Medium,2015
138,L. Piszczek,Borussia Dortmund,Bundesliga,72,81,11,29,2,73,73,82,82,77,68,3,0,0,High,2015
139,Hernanes,Inter,Serie A,74,62,8,29,3,76,76,82,82,79,82,4,0,0,Medium,2015
140,S. Feghouli,Valencia CF,La Liga,70,38,9,24,2,62,84,81,88,75,74,3,0,0,High,2015
141,R. Varane,Real Madrid,La Liga,54,81,10,21,3,60,68,81,88,65,60,2,0,0,Medium,2015
142,A. Laporte,Athletic Club de Bilbao,La Liga,51,86,9,20,2,61,75,81,88,69,61,2,0,0,Medium,2015
143,Coutinho,Liverpool,Premier League,69,32,9,22,2,58,83,81,86,61,80,4,0,0,High,2015
