Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,Paris Saint-Germain,27,22,2,3,75,24,+51,68
2,Olympique de Marseille,28,16,8,4,41,29,+12,56
3,Stade Rennais FC,28,15,5,8,38,24,+14,50
4,LOSC Lille,28,15,4,9,35,27,+8,49
5,OGC Nice,28,11,8,9,41,38,+3,40
6,Stade de Reims,28,10,11,7,26,21,+5,40
7,Olympique Lyonnais,28,11,7,10,42,27,+15,40
8,Montpellier HSC,28,11,7,10,35,34,+1,40
9,AS Monaco,28,11,7,10,44,44,0,40
10,RC Strasbourg Alsace,27,11,5,11,32,32,0,38
11,Angers SCO,28,11,6,11,28,33,-5,38
12,FC Girondins de Bordeaux,28,9,10,9,40,34,+6,36
13,FC Nantes,28,11,4,13,28,31,-3,36
14,Stade Brestois 29,28,8,10,10,34,37,-3,33
15,FC Metz,28,8,10,10,27,35,-8,33
16,Dijon FCO,28,7,9,12,27,37,-10,29
17,AS Saint-Étienne,28,8,6,14,29,45,-16,29
18,Nîmes Olympique,28,7,6,15,29,44,-15,26
19,Amiens SC,28,4,11,13,31,50,-19,22
20,Toulouse Football Club,28,3,4,21,22,58,-36,12
